country_code_3,lat,long,country,zero
NCL,-20.90,165.62,New Caledonia,0
NZL,-40.90,174.89,New Zealand,0
NIC,12.87,-85.21,Nicaragua,0
NER,17.61,8.08,Niger,0
NGA,9.08,8.68,Nigeria,0
NIU,-19.05,-169.87,Niue,0
NFK,-29.04,167.95,Norfolk Island,0
PRK,40.34,127.51,North Korea,0
MNP,17.33,145.38,Northern Mariana Islands,0
NOR,60.47,8.47,Norway,0
OMN,21.51,55.92,Oman,0
PAK,30.38,69.35,Pakistan,0
PLW,7.51,134.58,Palau,0
PSE,31.95,35.23,Palestinian Territories,0
PAN,8.54,-80.78,Panama,0
PNG,-6.31,143.96,Papua New Guinea,0
PRY,-23.44,-58.44,Paraguay,0
PER,-9.19,-75.02,Peru,0
PHL,12.88,121.77,Philippines,0
PCN,-24.70,-127.44,Pitcairn Islands,0
POL,51.92,19.15,Poland,0
PRT,39.40,-8.22,Portugal,0
PRI,18.22,-66.59,Puerto Rico,0
QAT,25.35,51.18,Qatar,0
REU,-21.12,55.54,Réunion,0
ROU,45.94,24.97,Romania,0
RUS,61.52,105.32,Russia,0
RWA,-1.94,29.87,Rwanda,0
SHN,-24.14,-10.03,Saint Helena,0
KNA,17.36,-62.78,Saint Kitts and Nevis,0
LCA,13.91,-60.98,Saint Lucia,0
SPM,46.94,-56.27,Saint Pierre and Miquelon,0
VCT,12.98,-61.29,Saint Vincent and the Grenadines,0
WSM,-13.76,-172.1,Samoa,0
SMR,43.94,12.46,San Marino,0
STP,0.19,6.61,Sao Tome and Principe,0
SAU,23.89,45.08,Saudi Arabia,0
SEN,14.50,-14.45,Senegal,0
SRB,44.02,21.01,Serbia,0
SYC,-4.68,55.49,Seychelles,0
SLE,8.46,-11.78,Sierra Leone,0
SGP,1.35,103.82,Singapore,0
SVK,48.67,19.7,Slovakia,0
SVN,46.15,15,Slovenia,0
SLB,-9.65,160.16,Solomon Islands,0
SOM,5.15,46.2,Somalia,0
ZAF,-30.56,22.94,South Africa,0
SGS,-54.43,-36.59,South Georgia and the South Sandwich Islands,0
KOR,35.91,127.77,South Korea,0
SSD,7.86,29.69,South Sudan,0
ESP,40.46,-3.75,Spain,0
LKA,7.87,80.77,Sri Lanka,0
SDN,12.86,30.22,Sudan,0
SUR,3.92,-56.03,Suriname,0
SJM,77.55,23.67,Svalbard and Jan Mayen Islands,0
SWZ,-26.52,31.47,Swaziland,0
SWE,60.13,18.64,Sweden,0
CHE,46.82,8.23,Switzerland,0
SYR,34.80,39,Syria,0
TWN,23.70,120.96,Taiwan,0
TJK,38.86,71.28,Tajikistan,0
TZA,-6.37,34.89,Tanzania,0
THA,15.87,100.99,Thailand,0
TLS,-8.87,125.73,Timor-Leste,0
TGO,8.62,0.82,Togo,0
TKL,-8.97,-171.86,Tokelau,0
TON,-21.18,-175.2,Tonga,0
TTO,10.69,-61.22,Trinidad and Tobago,0
TUN,33.89,9.54,Tunisia,0
TUR,38.96,35.24,Turkey,0
TKM,38.97,59.56,Turkmenistan,0
TCA,21.69,-71.8,Turks and Caicos Islands,0
TUV,-7.11,177.65,Tuvalu,0
UGA,1.37,32.29,Uganda,0
UKR,48.38,31.17,Ukraine,0
ARE,23.42,53.85,United Arab Emirates,0
GBR,55.38,-3.44,United Kingdom,0
USA,37.09,-95.71,United States,0
URY,-32.52,-55.77,Uruguay,0
