country_code_3,lat,long,country,zero
FSM,7.425554,150.550812,Micronesia,0
MDA,47.411631,28.369885,Moldova,0
MCO,43.750298,7.412841,Monaco,0
MNG,46.862496,103.846656,Mongolia,0
MNE,42.708678,19.37439,Montenegro,0
MSR,16.742498,-62.187366,Montserrat,0
MAR,31.791702,-7.09262,Morocco,0
MOZ,-18.665695,35.529562,Mozambique,0
MMR,21.913965,95.956223,Myanmar,0
NAM,-22.95764,18.49041,Namibia,0
NRU,-0.522778,166.931503,Nauru,0
NPL,28.394857,84.124008,Nepal,0
NLD,52.132633,5.291266,Netherlands,0
ANT,12.226079,-69.060087,Netherlands Antilles,0
NCL,-20.904305,165.618042,New Caledonia,0
NZL,-40.900557,174.885971,New Zealand,0
NIC,12.865416,-85.207229,Nicaragua,0
NER,17.607789,8.081666,Niger,0
NGA,9.081999,8.675277,Nigeria,0
NIU,-19.054445,-169.867233,Niue,0
NFK,-29.040835,167.954712,Norfolk Island,0
PRK,40.339852,127.510093,North Korea,0
MNP,17.33083,145.38469,Northern Mariana Islands,0
NOR,60.472024,8.468946,Norway,0
OMN,21.512583,55.923255,Oman,0
PAK,30.375321,69.345116,Pakistan,0
PLW,7.51498,134.58252,Palau,0
PSE,31.952162,35.233154,Palestinian Territories,0
PAN,8.537981,-80.782127,Panama,0
PNG,-6.314993,143.95555,Papua New Guinea,0
PRY,-23.442503,-58.443832,Paraguay,0
PER,-9.189967,-75.015152,Peru,0
PHL,12.879721,121.774017,Philippines,0
PCN,-24.703615,-127.439308,Pitcairn Islands,0
POL,51.919438,19.145136,Poland,0
PRT,39.399872,-8.224454,Portugal,0
PRI,18.220833,-66.590149,Puerto Rico,0
QAT,25.354826,51.183884,Qatar,0
REU,-21.115141,55.536384,Réunion,0
ROU,45.943161,24.96676,Romania,0
RUS,61.52401,105.318756,Russia,0
RWA,-1.940278,29.873888,Rwanda,0
SHN,-24.143474,-10.030696,Saint Helena,0
KNA,17.357822,-62.782998,Saint Kitts and Nevis,0
LCA,13.909444,-60.978893,Saint Lucia,0
SPM,46.941936,-56.27111,Saint Pierre and Miquelon,0
VCT,12.984305,-61.287228,Saint Vincent and the Grenadines,0
WSM,-13.759029,-172.104629,Samoa,0
SMR,43.94236,12.457777,San Marino,0
STP,0.18636,6.613081,Sao Tome and Principe,0
SAU,23.885942,45.079162,Saudi Arabia,0
SEN,14.497401,-14.452362,Senegal,0
SRB,44.016521,21.005859,Serbia,0
SYC,-4.679574,55.491977,Seychelles,0
SLE,8.460555,-11.779889,Sierra Leone,0
SGP,1.352083,103.819836,Singapore,0
SVK,48.669026,19.699024,Slovakia,0
SVN,46.151241,14.995463,Slovenia,0
SLB,-9.64571,160.156194,Solomon Islands,0
SOM,5.152149,46.199616,Somalia,0
ZAF,-30.559482,22.937506,South Africa,0
